CPU_%_global,CPU_%_on_core,CPU_%_by_process,Core,Process_memory_usage
0.2,11.1,0.0,0,192512
0.6,33.3,0.0,0,192512
0.2,20.0,0.0,0,192512
0.5,0.0,0.0,0,192512
0.5,33.3,0.0,0,192512
0.5,27.3,0.0,0,192512
0.5,20.0,0.0,0,192512
0.5,27.3,0.0,0,192512
0.3,18.2,0.0,0,192512
0.3,11.1,0.0,0,192512
0.2,20.0,0.0,0,192512
0.6,18.2,0.0,0,192512
0.2,20.0,0.0,0,192512
0.3,11.1,0.0,0,192512
0.5,27.3,0.0,0,192512
0.2,18.2,0.0,0,192512
0.3,11.1,0.0,0,192512
0.5,11.1,0.0,0,192512
0.2,27.3,0.0,0,192512
0.8,27.3,0.0,0,192512
0.0,20.0,0.0,0,192512
0.8,33.3,0.0,0,192512
0.3,22.2,0.0,0,192512
0.5,25.0,0.0,0,192512
0.2,11.1,0.0,0,192512
0.2,11.1,0.0,0,192512
0.3,10.0,0.0,0,192512
0.5,27.3,0.0,0,192512
0.3,11.1,0.0,0,192512
0.3,20.0,0.0,0,192512
0.0,0.0,0.0,0,192512
0.3,20.0,0.0,0,192512
0.3,10.0,0.0,0,192512
0.3,20.0,0.0,0,192512
0.5,27.3,0.0,0,192512
0.3,18.2,0.0,0,192512
0.3,20.0,0.0,0,192512
0.2,11.1,0.0,0,192512
0.2,18.2,0.0,0,192512
0.0,0.0,0.0,0,192512
0.2,0.0,0.0,0,192512
0.3,11.1,0.0,0,192512
0.2,20.0,0.0,0,192512
0.5,20.0,0.0,0,192512
0.2,20.0,0.0,0,192512
0.5,20.0,0.0,0,192512
0.5,27.3,0.0,0,192512
0.6,33.3,0.0,0,192512
0.3,11.1,0.0,0,192512
0.2,20.0,0.0,0,192512
0.5,11.1,0.0,0,192512
0.3,25.0,0.0,0,192512
0.5,27.3,0.0,0,192512
0.2,11.1,0.0,0,192512
0.6,20.0,0.0,0,192512
0.3,20.0,0.0,0,192512
0.2,27.3,0.0,0,192512
0.2,0.0,0.0,0,192512
0.5,27.3,0.0,0,192512
0.0,0.0,0.0,0,192512
0.5,18.2,0.0,0,192512
0.3,20.0,0.0,0,192512
0.3,11.1,0.0,0,192512
0.3,18.2,0.0,0,192512
0.2,11.1,0.0,0,192512
0.3,27.3,0.0,0,192512
0.5,11.1,0.0,0,192512
0.3,27.3,0.0,0,192512
0.5,20.0,0.0,0,192512
0.3,11.1,0.0,0,192512
0.0,10.0,0.0,0,192512
0.5,27.3,0.0,0,192512
0.5,20.0,0.0,0,192512
0.2,22.2,0.0,0,192512
0.5,27.3,0.0,0,192512
0.5,25.0,0.0,0,192512
0.5,0.0,0.0,0,192512
0.3,33.3,0.0,0,192512
0.6,27.3,0.0,0,192512
0.3,20.0,0.0,0,192512
0.3,20.0,0.0,0,192512
0.2,11.1,0.0,0,192512
0.6,25.0,0.0,0,192512
0.2,20.0,0.0,0,192512
0.5,0.0,0.0,0,192512
0.2,18.2,0.0,0,192512
0.3,20.0,0.0,0,192512
0.2,10.0,0.0,0,192512
0.3,20.0,0.0,0,192512
1.4,11.1,0.0,0,192512
2.7,33.3,0.0,0,192512
0.0,20.0,0.0,0,192512
0.6,10.0,0.0,0,192512
0.8,33.3,0.0,0,192512
0.3,10.0,0.0,0,192512
0.8,20.0,0.0,0,192512
0.8,27.3,0.0,0,192512
0.6,11.1,0.0,0,192512
0.6,18.2,0.0,0,192512
0.3,11.1,0.0,0,192512
0.6,18.2,0.0,0,192512
0.3,23.1,0.0,0,192512
0.2,0.0,0.0,0,192512
0.3,11.1,0.0,0,192512
0.2,25.0,0.0,0,192512
0.5,20.0,0.0,0,192512
0.3,18.2,0.0,0,192512
0.5,11.1,0.0,0,192512
0.3,20.0,0.0,0,192512
0.3,20.0,0.0,0,192512
0.3,20.0,0.0,0,192512
0.3,18.2,0.0,0,192512
0.2,11.1,0.0,0,192512
0.2,11.1,0.0,0,192512
0.2,0.0,0.0,0,192512
0.3,18.2,0.0,0,192512
0.3,11.1,0.0,0,192512
0.3,20.0,0.0,0,192512
0.3,20.0,0.0,0,192512
0.5,20.0,0.0,0,192512
0.2,18.2,0.0,0,192512
0.6,12.5,0.0,0,192512
0.2,30.8,0.0,0,192512
0.6,11.1,0.0,0,192512
0.3,27.3,0.0,0,192512
0.2,11.1,0.0,0,192512
0.3,10.0,0.0,0,192512
0.2,11.1,0.0,0,192512
0.5,20.0,0.0,0,192512
0.6,38.5,0.0,0,192512
0.2,0.0,0.0,0,192512
0.2,20.0,0.0,0,192512
0.6,27.3,0.0,0,192512
0.3,27.3,0.0,0,192512
0.3,18.2,0.0,0,192512
0.3,0.0,0.0,0,192512
0.3,27.3,0.0,0,192512
0.2,11.1,0.0,0,192512
0.3,10.0,0.0,0,192512
0.3,20.0,0.0,0,192512
0.5,18.2,0.0,0,192512
0.3,27.3,0.0,0,192512
0.3,0.0,0.0,0,192512
0.0,0.0,0.0,0,192512
0.3,27.3,0.0,0,192512
0.5,33.3,0.0,0,192512
0.5,11.1,0.0,0,192512
0.2,11.1,0.0,0,192512
0.2,27.3,0.0,0,192512
0.8,27.3,0.0,0,192512
0.2,20.0,0.0,0,192512
0.5,10.0,0.0,0,192512
0.5,27.3,0.0,0,192512
0.2,0.0,0.0,0,192512
0.5,25.0,0.0,0,192512
0.5,27.3,0.0,0,192512
0.2,11.1,0.0,0,192512
0.3,20.0,0.0,0,192512
0.3,27.3,0.0,0,192512
0.2,0.0,0.0,0,192512
0.6,18.2,0.0,0,192512
0.0,11.1,0.0,0,192512
0.3,20.0,0.0,0,192512
0.0,0.0,0.0,0,192512
0.5,20.0,0.0,0,192512
0.3,10.0,0.0,0,192512
